age,gendar,stage,martial status ,location,college,do you support feminism,are a membet from womens organization?,does feminism affect divorce and family problems?
21,مێ,2,سەڵت,سلێمانی,زانست,نەخێر,نەخێر,بەڵێ
21,مێ,2,سەڵت,دەرەوەی شار,کۆلێجی هونەرە جوانەکان,نەخێر,نەخێر,بەڵێ
19,مێ,1,سەڵت,دەرەوەی شار,زانست,,نەخێر,نەخێر
21+,مێ,5,سەڵت,سلێمانی,Parwarday  bnarat ,بەڵێ,نەخێر,بەڵێ
20,مێ,1,سەڵت,دەرەوەی شار,زانست,نەخێر,نەخێر,بەڵێ
,,,,,,,,
20,مێ,1,سەڵت,دەرەوەی شار,زانست,نەخێر,نەخێر,بەڵێ
21+,مێ,2,خێزاندار,سلێمانی,بنەرەتی,نەخێر,نەخێر,بەڵێ
19,نێر,1,سەڵت,سلێمانی,زانست,نەخێر,نەخێر,بەڵێ
20,مێ,1,سەڵت,دەرەوەی شار,زانست/زانستی تاقیگەی پزیشکی,نەخێر,نەخێر,بەڵێ
21,نێر,4,سەڵت,دەرەوەی شار,Medical laboratory ,نەخێر,نەخێر,بەڵێ
18,مێ,1,سەڵت,دەرەوەی شار,زانست ,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,دەرەوەی شار,,بەڵێ,نەخێر,بەڵێ
20,نێر,2,سەڵت,دەرەوەی شار,Paitaxt,نەخێر,نەخێر,بەڵێ
20,مێ,2,سەڵت,سلێمانی,یاسا,بەڵێ,نەخێر,بەڵێ
19,نێر,1,سەڵت,دەرەوەی شار,زانست,نەخێر,نەخێر,بەڵێ
18,مێ,1,سەڵت,سلێمانی,Uos,بەڵێ,نەخێر,نەخێر
19,نێر,1,سەڵت,دەرەوەی شار,Science ,نەخێر,نەخێر,بەڵێ
21+,مێ,2,سەڵت,سلێمانی,زانست,نەخێر,نەخێر,بەڵێ
20,مێ,2,سەڵت,سلێمانی,Spu,بەڵێ,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,دةرمانسازي،قيوان,بەڵێ,نەخێر,نەخێر
19,نێر,1,سەڵت,دەرەوەی شار,Soran University ,بەڵێ,نەخێر,بەڵێ
19,مێ,1,سەڵت,,زانست,بەڵێ,نەخێر,نەخێر
18,مێ,1,سەڵت,سلێمانی,زانست,نەخێر,نەخێر,بەڵێ
19,نێر,1,سەڵت,دەرەوەی شار,ڕاپەڕین,نەخێر,نەخێر,بەڵێ
20,مێ,2,سەڵت,سلێمانی,زانکۆی ڕاپەرین ,نەخێر,نەخێر,بەڵێ
19,مێ,1,سەڵت,دەرەوەی شار,scince,نەخێر,نەخێر,بەڵێ
18,مێ,1,سەڵت,دەرەوەی شار,زانست/بایۆلۆجی,نەخێر,نەخێر,بەڵێ
20,مێ,1,سەڵت,دەرەوەی شار,زانست / بایۆلۆجی,نەخێر,نەخێر,بەڵێ
20,مێ,1,سەڵت,سلێمانی, زانست,نەخێر,نەخێر,بەڵێ
20,مێ,1,سەڵت,دەرەوەی شار,,نەخێر,نەخێر,نەخێر
20,مێ,1,سەڵت,سلێمانی,زانست,نەخێر,نەخێر,بەڵێ
21+,نێر,4,سەڵت,دەرەوەی شار,زانست,نەخێر,نەخێر,بەڵێ
18,مێ,1,سەڵت,دەرەوەی شار,Zanst,نەخێر,نەخێر,بەڵێ
18,مێ,1,سەڵت,دەرەوەی شار,Science ,نەخێر,نەخێر,بەڵێ
19,مێ,1,سەڵت,دەرەوەی شار,زانست,نەخێر,نەخێر,بەڵێ
21+,نێر,4,سەڵت,سلێمانی,sulaymaniyah ,نەخێر,نەخێر,بەڵێ
19,مێ,3,سەڵت,دەرەوەی شار,EPU,نەخێر,نەخێر,بەڵێ
21,مێ,3,سەڵت,سلێمانی,کۆلێژی زمان,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,دەرەوەی شار,پەرستاری,نەخێر,نەخێر,نەخێر
19,مێ,2,سەڵت,سلێمانی,دەرمانسازی,بەڵێ,نەخێر,نەخێر
20,مێ,1,سەڵت,دەرەوەی شار,sciense,بەڵێ,نەخێر,نەخێر
,,,,,,,,
21+,مێ,3,سەڵت,دەرەوەی شار,زانکۆی پۆلیتەکنیک بەشی سیستەمی زانیاری,بەڵێ,نەخێر,نەخێر
20,مێ,3,سەڵت,سلێمانی,Language ,نەخێر,نەخێر,بەڵێ
19,نێر,1,سەڵت,دەرەوەی شار,زانست,نەخێر,نەخێر,بەڵێ
18,نێر,1,سەڵت,دەرەوەی شار,زمان,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,Zankoi slemani,بەڵێ,نەخێر,نەخێر
20,مێ,1,سەڵت,سلێمانی,,بەڵێ,نەخێر,بەڵێ
19,مێ,1,سەڵت,دەرەوەی شار,زانستی,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,Nursing ,نەخێر,نەخێر,بەڵێ
20,مێ,3,سەڵت,دەرەوەی شار,Ukh,بەڵێ,نەخێر,نەخێر
21,مێ,2,سەڵت,سلێمانی,english,نەخێر,نەخێر,بەڵێ
18,مێ,,سەڵت,,,نەخێر,نەخێر,نەخێر
20,مێ,1,سەڵت,دەرەوەی شار,Erbil polytichnic institute ,نەخێر,نەخێر,نەخێر
20,مێ,5,سەڵت,دەرەوەی شار,,,نەخێر,
21+,نێر,4,سەڵت,دەرەوەی شار,زانست,نەخێر,نەخێر,بەڵێ
21+,نێر,3,سەڵت,دەرەوەی شار,bnarat,نەخێر,نەخێر,بەڵێ
18,مێ,1,سەڵت,دەرەوەی شار,زانست,نەخێر,نەخێر,بەڵێ
19,نێر,1,سەڵت,سلێمانی,Daraki,نەخێر,نەخێر,بەڵێ
20,نێر,1,سەڵت,سلێمانی,زمان,نەخێر,نەخێر,بەڵێ
21,مێ,1,سەڵت,سلێمانی,Uhd,نەخێر,نەخێر,بەڵێ
21,مێ,2,سەڵت,سلێمانی,کارگێری و ئابووری ,بەڵێ,نەخێر,بەڵێ
21,مێ,3,سەڵت,دەرەوەی شار,بنەرەت,نەخێر,نەخێر,نەخێر
20,مێ,2,سەڵت,دەرەوەی شار,,نەخێر,نەخێر,بەڵێ
21,مێ,2,سەڵت,سلێمانی,Pharmacy,بەڵێ,نەخێر,نەخێر
18,نێر,1,سەڵت,سلێمانی,Computer ,نەخێر,نەخێر,بەڵێ
21+,نێر,4,سەڵت,دەرەوەی شار,زانست,نەخێر,نەخێر,بەڵێ
18,نێر,1,سەڵت,دەرەوەی شار,زانست,نەخێر,نەخێر,بەڵێ
19,مێ,4,سەڵت,سلێمانی,runaki,بەڵێ,نەخێر,نەخێر
21,نێر,3,سەڵت,سلێمانی,ئەندازیاری کارەبا,نەخێر,نەخێر,بەڵێ
